fac1;fac2;similitud
6063893;6080025;1
6007871;6080025;1
6068054;6080025;1
6059709;6080025;1
6045566;6080025;1
6028664;6080025;1
6063960;6080025;1
6024715;6080025;1
6008341;6024715;1
6007907;6024715;1
6019891;6024715;1
6022367;6024715;1
6008334;6032519;1
6008341;6032519;1
6024715;6032519;1
6042488;6058632;1
6008334;6020062;1
6008341;6020062;1
6007871;6020062;1
6068054;6124547;2
6008334;6124384;2
6071388;6110359;2
6080095;6110359;2
6024715;6110359;2
6009460;6096734;2
6068054;6093140;2
6059187;6105757;2
6009460;6043560;2
6022367;6043560;2
6022214;6043560;2
6063893;6075627;2
6059221;6075627;2
6032519;6075627;2
6008341;6089224;2
6075627;6089224;2
6063893;6089224;2
6059221;6089224;2
6080095;6089224;2
6059187;6089224;2
6080025;6089224;2
6043560;6111599;2
6056614;6111599;2
6022214;6111599;2
6096057;6111599;2
6019891;6079425;2
6059187;6079425;2
6059709;6079425;2
6111599;6123135;2
6032055;6056632;2
6022367;6056632;2
6024715;6071388;2
6008341;6097620;2
6075627;6097620;2
6089224;6097620;2
6092723;6097620;2
6059187;6097620;2
6020062;6097620;2
6008334;6092723;2
6008341;6092723;2
6043560;6092723;2
6037842;6092723;2
6059221;6092723;2
6063960;6092723;2
6009460;6099275;2
6022214;6099275;2
6009460;6107244;2
6042980;6107244;2
6056614;6107244;2
6022367;6107244;2
6009460;6042980;2
6019891;6022367;2
6059187;6063893;2
6043560;6096057;2
6092723;6096057;2
6022214;6096057;2
6008341;6059221;2
6059187;6059221;2
6020062;6059221;2
6045566;6106112;2
6092723;6105935;2
6099275;6105935;2
6022367;6105935;2
6063960;6105935;2
6059187;6068054;2
6068054;6097589;2
6080095;6097589;2
6024715;6097589;2
6008334;6093597;2
6092723;6093597;2
6059187;6093597;2
6075627;6080095;2
6019891;6080095;2
6022367;6080095;2
6063893;6080095;2
6080025;6080095;2
6008334;6097663;2
6019891;6097663;2
6022367;6097663;2
6068054;6097663;2
6080095;6097663;2
6059187;6097663;2
6080025;6097663;2
6056632;6084224;2
6022367;6084224;2
6093597;6097763;2
6092723;6115200;2
6099275;6115200;2
6059709;6115200;2
6019891;6059187;2
6020062;6059187;2
6009460;6059709;2
6022367;6059709;2
6022367;6045566;2
6008334;6063960;2
6059709;6063960;2
6032055;6080025;2
6022367;6080025;2
6059221;6080025;2
6059187;6080025;2
6045566;6058632;2
6009460;6020062;2
6020062;6089224;3
6092723;6111599;3
6099275;6111599;3
6107244;6111599;3
6105935;6111599;3
6059221;6097620;3
6080025;6097620;3
6075627;6092723;3
6022367;6092723;3
6059187;6092723;3
6059709;6092723;3
6043560;6099275;3
6022367;6099275;3
6096057;6099275;3
6059187;6099275;3
6059709;6099275;3
6009460;6096057;3
6022367;6096057;3
6009460;6115200;3
6096057;6115200;3
6008341;6059187;3
6022367;6059187;3
6059187;6059709;3
6020062;6080025;3
6022367;6111599;4
6092723;6099275;4
6009460;6022367;4
